date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:50	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://technext.github.io/logistics/css/images/ui-icons_d8e7f3_256x240.png	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/images/ui-icons_d8e7f3_256x240.png	(from https://technext.github.io/logistics/css/jquery-ui.css)
14:40:50	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://technext.github.io/logistics/css/images/ui-icons_6da8d5_256x240.png	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/images/ui-icons_6da8d5_256x240.png	(from https://technext.github.io/logistics/css/jquery-ui.css)
14:40:50	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d4889fb-247b%22	https://technext.github.io/logistics/css/images/ui-icons_217bc0_256x240.png	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/images/ui-icons_217bc0_256x240.png	(from https://technext.github.io/logistics/css/jquery-ui.css)
14:40:51	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d4889fb-247b%22	https://technext.github.io/logistics/css/images/ui-icons_f9bd01_256x240.png	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/images/ui-icons_f9bd01_256x240.png	(from https://technext.github.io/logistics/css/jquery-ui.css)
14:40:51	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f2a1ac7-247b%22	https://technext.github.io/logistics/css/images/ui-icons_2e83ff_256x240.png	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/images/ui-icons_2e83ff_256x240.png	(from https://technext.github.io/logistics/css/jquery-ui.css)
14:40:51	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://technext.github.io/logistics/css/images/ui-icons_cd0a0a_256x240.png	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/images/ui-icons_cd0a0a_256x240.png	(from https://technext.github.io/logistics/css/jquery-ui.css)
14:40:51	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://technext.github.io/logistics/css/owl.video.play.png	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/owl.video.play.png	(from https://technext.github.io/logistics/css/owl.carousel.min.css)
14:40:52	3730/3730	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c74f6b9-e92%22	https://technext.github.io/logistics/fonts/flaticon/font/Flaticon.eot	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/fonts/flaticon/font/Flaticon.eot	(from https://technext.github.io/logistics/fonts/flaticon/font/flaticon.css)
14:40:52	3730/3730	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c74f6b9-e92%22	https://technext.github.io/logistics/fonts/flaticon/font/Flaticon.eot?	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/fonts/flaticon/font/Flaticond41d.eot	(from https://technext.github.io/logistics/fonts/flaticon/font/flaticon.css)
14:40:52	1636/1636	---M--	200	added ('OK')	font/woff2	etag:%225c74f6b9-664%22	https://technext.github.io/logistics/fonts/flaticon/font/Flaticon.woff2	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/fonts/flaticon/font/Flaticon.woff2	(from https://technext.github.io/logistics/fonts/flaticon/font/flaticon.css)
14:40:53	2212/2212	---M--	200	added ('OK')	font/woff	etag:%225c74f6b9-8a4%22	https://technext.github.io/logistics/fonts/flaticon/font/Flaticon.woff	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/fonts/flaticon/font/Flaticon.woff	(from https://technext.github.io/logistics/fonts/flaticon/font/flaticon.css)
14:40:53	3552/3552	---M-Z	200	added ('OK')	font/ttf	etag:W/%225c74f6b9-de0%22	https://technext.github.io/logistics/fonts/flaticon/font/Flaticon.ttf	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/fonts/flaticon/font/Flaticon.ttf	(from https://technext.github.io/logistics/fonts/flaticon/font/flaticon.css)
14:40:53	10882/10882	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c74f6b9-2a82%22	https://technext.github.io/logistics/fonts/flaticon/font/Flaticon.svg	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/fonts/flaticon/font/Flaticon.svg	(from https://technext.github.io/logistics/fonts/flaticon/font/flaticon.css)
14:40:57	595666/595666	---M--	200	added ('OK')	image/jpeg	etag:%225c74f6b9-916d2%22	https://technext.github.io/logistics/images/hero_bg_4.jpg	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/images/hero_bg_4.jpg	(from https://technext.github.io/logistics/about.html)
